oem_id,brand,model,released_date,announced_date,hardware_designer,manufacturer,codename,general_extras,device_category,width,height,depth,dimensions,weight_gram,price,price_currency,platform,operating_system,software_extras,cpu_clock,cpu,ram_type,ram_capacity,non_volatile_memory_capacity,display_hole,display_diagonal,horizontal_full_bezel_width,display_area_utilization,pixel_density,display_type,number_of_display_scales,display_refresh_rate,graphical_controller,supported_cellular_bands,sim_card_slot,usb,usb_services,usb_connector,max_charging_power,bluetooth,WLAN,additional_sensors,battery_capacity,market_regions,info_added_date,x_resolution,y_resolution
A135UZKAUSC,Samsung,SM-A135U Galaxy A13 2022 Standard Edition TD-LTE US 32GB / SM-A135R4,28-03-22,04-03-22,Samsung Electronics,Samsung Electronics,Samsung A135,Haptic touch feedback,Smartphone,76.4,165.1,8.8,3.01x6.5x0.35 inches,195,199,USD,Android,Google Android 12 (S),"Voice Command,Business card recognition,Navigation software,Intelligent personal assistant,Face Recognition",2000,"Samsung Exynos 8 Octa 850 S5E8380, 2020, 64 bit, octa-core, 8 nm, ARM Mali-G52 GPU",LPDDR4x SDRAM,3,32,1-hole,167.2,7.98,82.8,401,Color PLS TFT LCDdisplay,16.8,60,ARM Mali-G52MP2,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS900 (B8),LTE1900 (B2),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE700 (B12),LTE700 (B13),LTE1900 (B25),LTE850 (B26),LTE700 (B29),TD-LTE2500 (B41),LTE1700/2100 (B66),LTE600 (B71)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,15,Bluetooth 5.0,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,North America,02-08-23 18:10,1080,2408
A135UZKDXAA,Samsung,SM-A135U1/DS Galaxy A13 2022 Standard Edition Dual SIM TD-LTE US 32GB,28-03-22,04-03-22,Samsung Electronics,Samsung Electronics,Samsung A135,Haptic touch feedback,Smartphone,76.4,165.1,8.8,3.01x6.5x0.35 inches,195,199,USD,Android,Google Android 12 (S),"Voice Command,Business card recognition,Navigation software,Intelligent personal assistant,Face Recognition",2000,"Samsung Exynos 8 Octa 850 S5E8380, 2020, 64 bit, octa-core, 8 nm, ARM Mali-G52 GPU",LPDDR4x SDRAM,3,32,1-hole,167.2,7.98,82.8,401,Color PLS TFT LCDdisplay,16.8,60,ARM Mali-G52MP2,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS900 (B8),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE700 (B12),LTE700 (B13),LTE700 (B14),LTE800 (B20),LTE1900 (B25),LTE850 (B26),LTE700 (B29),LTE2300 (B30),TD-LTE2600 (B38),TD-LTE2500 (B41),LTE1700/2100 (B66),LTE600 (B71)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,15,Bluetooth 5.0,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,North America,01-08-23 09:00,1080,2408
A135UZKAVZW,Samsung,SM-A135U Galaxy A13 2022 Standard Edition TD-LTE US 32GB / SM-A135V,28-03-22,04-03-22,Samsung Electronics,Samsung Electronics,Samsung A135,Haptic touch feedback,Smartphone,76.4,165.1,8.8,3.01x6.5x0.35 inches,195,199,USD,Android,Google Android 12 (S),"Voice Command,Business card recognition,Navigation software,Intelligent personal assistant,Face Recognition",2000,"Samsung Exynos 8 Octa 850 S5E8380, 2020, 64 bit, octa-core, 8 nm, ARM Mali-G52 GPU",LPDDR4x SDRAM,3,32,1-hole,167.2,7.98,82.8,401,Color PLS TFT LCDdisplay,16.8,60,ARM Mali-G52MP2,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS900 (B8),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE700 (B12),LTE700 (B13),LTE800 (B20),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE3600  (B48),LTE1700/2100 (B66),LTE600 (B71)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,15,Bluetooth 5.0,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,North America,31-07-23 23:26,1080,2408
PAYB0000JP,Motorola,Moto G53j 5G 2023 Dual SIM TD-LTE JP 128GB XT2335-5,16-06-23,01-05-23,Lenovo,Lenovo,Motorola Penang,Haptic touch feedback,Smartphone,74.66,162.7,8.19,2.94x6.41x0.32 inches,183,34800,JPY,Android,Google Android 13 (Tiramisu),"Voice Command,Navigation software,Intelligent personal assistant,Face Recognition",2200,"Qualcomm Snapdragon 480+ 5G SM4350-AC (Holi), 2021, 64 bit, octa-core, 8 nm, Qualcomm Adreno 619 GPU",LPDDR4x SDRAM,8,128,1-hole,165,6.95,83.9,270,Color IPS TFT LCDdisplay,16.8,120,Qualcomm Adreno 619,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS900 (B8),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE900 (B8),LTE1500 (B11),LTE700 (B12),LTE700 (B17),LTE800 (B18),LTE800 (B19),LTE850 (B26),LTE700 (B28),TD-LTE2600 (B38),TD-LTE2500 (B41),TD-LTE3500 (B42),NR1800 (N3),NR700 (N28),TD-NR3700 (N77),TD-NR3500 (N78)bands",e-SIM,USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,30,Bluetooth 5.1,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,Asia,23-07-23 19:14,720,1600
MC400,Motorola,Moto G53 5G 2022 Premium Edition TD-LTE LATAM 128GB XT2335-1,01-01-23,01-12-22,Lenovo,Lenovo,Motorola Penang,Haptic touch feedback,Smartphone,74.66,162.7,8.19,2.94x6.41x0.32 inches,183,4999,MXN,Android,Google Android 13 (Tiramisu),"Voice Command,Navigation software,Intelligent personal assistant,Face Recognition",2200,"Qualcomm Snapdragon 480+ 5G SM4350-AC (Holi), 2021, 64 bit, octa-core, 8 nm, Qualcomm Adreno 619 GPU",LPDDR4x SDRAM,6,128,1-hole,165,6.95,83.9,270,Color IPS TFT LCDdisplay,16.8,120,Qualcomm Adreno 619,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS900 (B8),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE900 (B8),LTE700 (B12),LTE700 (B13),LTE700 (B17),LTE850 (B26),LTE700 (B28),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE2500 (B41),TD-LTE3500 (B42),LTE1700/2100 (B66),NR2100 (N1),NR1800 (N3),NR2600 (N7),NR700 (N28),TD-NR2300 (N40),TD-NR3500 (N78)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,18,Bluetooth 5.1,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,"North America,South America",23-07-23 15:52,720,1600
MC400,Motorola,Moto G53 5G 2022 Standard Edition Dual SIM TD-LTE LATAM 128GB XT2335-1,01-01-23,01-12-22,Lenovo,Lenovo,Motorola Penang,Haptic touch feedback,Smartphone,74.66,162.7,8.19,2.94x6.41x0.32 inches,183,1899,BRL,Android,Google Android 13 (Tiramisu),"Voice Command,Navigation software,Intelligent personal assistant,Face Recognition",2200,"Qualcomm Snapdragon 480+ 5G SM4350-AC (Holi), 2021, 64 bit, octa-core, 8 nm, Qualcomm Adreno 619 GPU",LPDDR4x SDRAM,4,128,1-hole,165,6.95,83.9,270,Color IPS TFT LCDdisplay,16.8,120,Qualcomm Adreno 619,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS900 (B8),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE900 (B8),LTE700 (B12),LTE700 (B13),LTE700 (B17),LTE850 (B26),LTE700 (B28),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE2500 (B41),TD-LTE3500 (B42),LTE1700/2100 (B66),NR2100 (N1),NR1800 (N3),NR2600 (N7),NR700 (N28),TD-NR2300 (N40),TD-NR3500 (N78)bands",e-SIM,USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,18,Bluetooth 5.1,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,"Central America,South America",23-07-23 15:13,720,1600
MC401,Motorola,Moto G53 5G 2022 Standard Edition Global Dual SIM TD-LTE 128GB XT2335-2,16-02-23,01-12-22,Lenovo,Lenovo,Motorola Penang,Haptic touch feedback,Smartphone,74.66,162.7,8.19,2.94x6.41x0.32 inches,183,249,EUR,Android,Google Android 13 (Tiramisu),"Voice Command,Navigation software,Intelligent personal assistant,Face Recognition",2200,"Qualcomm Snapdragon 480+ 5G SM4350-AC (Holi), 2021, 64 bit, octa-core, 8 nm, Qualcomm Adreno 619 GPU",LPDDR4x SDRAM,4,128,1-hole,165,6.95,83.9,270,Color IPS TFT LCDdisplay,16.8,120,Qualcomm Adreno 619,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS850 (B5),UMTS900 (B8),UMTS800 (B19),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE850 (B5),LTE2600 (B7),LTE900 (B8),LTE800 (B18),LTE800 (B19),LTE800 (B20),LTE850 (B26),LTE700 (B28),LTE1500 (B32),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE2500 (B41),TD-LTE3500 (B42),NR2100 (N1),NR1800 (N3),NR850 (N5),NR2600 (N7),NR900 (N8),NR800 (N20),NR700 (N28),TD-NR2600 (N38),TD-NR2300 (N40),TD-NR2500 (N41),TD-NR3700 (N77),TD-NR3500 (N78)bands",e-SIM,USB 2.0,"USB charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,10,Bluetooth 5.1,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,"Asia,Australia,Eastern Europe,Europe,Middle East,South America,Western Europe",23-07-23 14:37,720,1600
A135UZKAXAU,Samsung,SM-A135U Galaxy A13 2022 Standard Edition Dual SIM TD-LTE US 32GB / SM-A135T,28-03-22,04-03-22,Samsung Electronics,Samsung Electronics,Samsung A135,Haptic touch feedback,Smartphone,76.4,165.1,8.8,3.01x6.5x0.35 inches,195,199,USD,Android,Google Android 12 (S),"Voice Command,Business card recognition,Navigation software,Intelligent personal assistant,Face Recognition",2000,"Samsung Exynos 8 Octa 850 S5E8380, 2020, 64 bit, octa-core, 8 nm, ARM Mali-G52 GPU",LPDDR4x SDRAM,3,32,1-hole,167.2,7.98,82.8,401,Color PLS TFT LCDdisplay,16.8,60,ARM Mali-G52MP2,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS900 (B8),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE700 (B12),LTE700 (B13),LTE800 (B20),LTE1900 (B25),LTE850 (B26),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE3600  (B48),LTE1700/2100 (B66),LTE600 (B71)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB PD,USB PD 2.0",USB C reversible,15,Bluetooth 5.0,"802.11a,802.11b,802.11g,802.11n,802.11ac","FP sensor,L sensor,P sensor",5000 mAh battery,North America,21-07-23 22:38,1080,2408
MZB0D87EU,Xiaomi,Poco F5 Pro 5G Premium Edition Global Dual SIM TD-LTE 512GB 23013RK75G,09-05-23,08-05-23,Xiaomi,Foxconn,Xiaomi Mondrian B,"Haptic touch feedback,Tactile touch feedback",Smartphone,75.44,162.78,8.59,2.97x6.41x0.34 inches,204,499,USD,Android,Google Android 13 (Tiramisu),"Voice Command,Business card recognition,Navigation software,Augmented Reality (AR),Intelligent personal assistant,Voice Recognition,Face Recognition",3190,"Qualcomm Snapdragon 8+ Gen 1 5G SM8475 (Palima), 2022, 64 bit, octa-core, 6144 Kbyte L3, 4 nm, Qualcomm Adreno 730 GPU",LPDDR5 SDRAM,12,512,1-hole,169.4,5.92,87.4,526,AM-OLEDdisplay,16.8,120,Qualcomm Adreno 730,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS800 (B6),UMTS900 (B8),UMTS800 (B19),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE900 (B8),LTE800 (B18),LTE800 (B19),LTE800 (B20),LTE700 (B28),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE2500 (B41),LTE1700/2100 (B66),NR2100 (N1),NR1800 (N3),NR850 (N5),NR2600 (N7),NR900 (N8),NR800 (N20),NR700 (N28),TD-NR2600 (N38),TD-NR2300 (N40),TD-NR2500 (N41),TD-NR3700 (N77),TD-NR3500 (N78)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB OTG 2.0,USB PD,USB PD 2.0,USB PD 3.0",USB C reversible,67,Bluetooth 5.3,"802.11a,802.11b,802.11g,802.11n,802.11ac,802.11ax","In-screen FP sensor,L sensor,P sensor,Step counter",5160 mAh battery,"Asia,Eastern Europe,Europe,Middle East,Southeast Asia,Western Europe",17-07-23 21:45,1440,3200
MZB0D87EU,Xiaomi,Poco F5 Pro 5G Premium Edition Global Dual SIM TD-LTE 256GB 23013RK75G,09-05-23,08-05-23,Xiaomi,Foxconn,Xiaomi Mondrian B,"Haptic touch feedback,Tactile touch feedback",Smartphone,75.44,162.78,8.59,2.97x6.41x0.34 inches,204,459,USD,Android,Google Android 13 (Tiramisu),"Voice Command,Business card recognition,Navigation software,Augmented Reality (AR),Intelligent personal assistant,Voice Recognition,Face Recognition",3190,"Qualcomm Snapdragon 8+ Gen 1 5G SM8475 (Palima), 2022, 64 bit, octa-core, 6144 Kbyte L3, 4 nm, Qualcomm Adreno 730 GPU",LPDDR5 SDRAM,12,256,1-hole,169.4,5.92,87.4,526,AM-OLEDdisplay,16.8,120,Qualcomm Adreno 730,"GSM850,GSM900,GSM1800,GSM1900,UMTS2100 (B1),UMTS1900 (B2),UMTS1700/2100 (B4),UMTS850 (B5),UMTS800 (B6),UMTS900 (B8),UMTS800 (B19),LTE2100 (B1),LTE1900 (B2),LTE1800 (B3),LTE1700/2100 (B4),LTE850 (B5),LTE2600 (B7),LTE900 (B8),LTE800 (B18),LTE800 (B19),LTE800 (B20),LTE700 (B28),TD-LTE2600 (B38),TD-LTE2300 (B40),TD-LTE2500 (B41),LTE1700/2100 (B66),NR2100 (N1),NR1800 (N3),NR850 (N5),NR2600 (N7),NR900 (N8),NR800 (N20),NR700 (N28),TD-NR2600 (N38),TD-NR2300 (N40),TD-NR2500 (N41),TD-NR3700 (N77),TD-NR3500 (N78)bands",Nano-SIM (4FF),USB 2.0,"USB charging,USB fast charging,USB Host,USB OTG 1.3,USB OTG 2.0,USB PD,USB PD 2.0,USB PD 3.0",USB C reversible,67,Bluetooth 5.3,"802.11a,802.11b,802.11g,802.11n,802.11ac,802.11ax","In-screen FP sensor,L sensor,P sensor,Step counter",5160 mAh battery,"Asia,Eastern Europe,Europe,Middle East,Southeast Asia,Western Europe",17-07-23 21:35,1440,3200
